Number of unique user ids: 903
Number of unique bid requests: 956
[id: 90EB6761-98E9-4CEE-A68C-9EC67FCC270A, coordinate: lat: 38.4774551, lng: -85.5904312, time: 2014-09-15 01:41:55]
[id: fb4c3ecd-e53f-475f-b680-311b943fe967, coordinate: lat: 32.7101021, lng: -96.8269348, time: 2014-09-15 01:41:24, id: fb4c3ecd-e53f-475f-b680-311b943fe967, coordinate: lat: 32.7101021, lng: -96.8269348, time: 2014-09-15 01:41:58]
[id: e3a0576d60f5cf283f5b0c4c00ff02d856e07543, coordinate: lat: 46.8408699, lng: -96.8789368, time: 2014-09-15 01:41:22, id: e3a0576d60f5cf283f5b0c4c00ff02d856e07543, coordinate: lat: 46.8408699, lng: -96.8789368, time: 2014-09-15 01:41:50]
[id: 965662f8dc5dda51c887e31b276c3ae3ee40cd26, coordinate: lat: 29.78105702, lng: -95.04350148, time: 2014-09-15 01:41:28]
[id: 5eed2d675e52b2494457b1dc0a3d7a16450dbaa3, coordinate: lat: 41.9654728, lng: -83.7129066, time: 2014-09-15 01:41:48]
[id: 39024420-d020-4e6e-ae7b-39f79ce40e45, coordinate: lat: 35.8764915, lng: -85.5483322, time: 2014-09-15 01:41:37]
[id: 4fbfa956291c3031a4ff6736f9d5500d75130f25, coordinate: lat: 35.6604691, lng: -78.3955002, time: 2014-09-15 01:41:53]
[id: ea49de61c9a7cd29e92fc71782e4a98787382768, coordinate: lat: 40.0809132, lng: -104.9262849, time: 2014-09-15 01:41:20]
[id: 7084035e54336f92190fbc20ab70702336fd8e40, coordinate: lat: 41.329277, lng: -89.2009583, time: 2014-09-15 01:41:48]
[id: 71995228-7705-42DD-9C42-D0EDED89FAFD, coordinate: lat: 41.8998222, lng: -87.7540817, time: 2014-09-15 01:41:35]
[id: 1959ae87245eb5c3d80506f0de7dfce8ea943bbf, coordinate: lat: 21.344444, lng: -157.908062, time: 2014-09-15 01:41:22]
[id: 3E8D53BA-2C12-4C4F-914A-C53D132F5C2D, coordinate: lat: 33.5745697, lng: -83.9828491, time: 2014-09-15 01:41:13]
[id: e0a1f7ac0cf34799d7e82980e8ae7881c0ee2bf1, coordinate: lat: 42.0829849, lng: -87.9291153, time: 2014-09-15 01:41:49]
[id: bd37936c8011783669d76690d6ae49412e6218f4, coordinate: lat: 36.0345955, lng: -90.4860535, time: 2014-09-15 01:41:24, id: bd37936c8011783669d76690d6ae49412e6218f4, coordinate: lat: 36.0345955, lng: -90.4860535, time: 2014-09-15 01:41:55]
[id: 35018FDE-F661-45A3-8584-C4D64E4ED25C, coordinate: lat: 49.2667, lng: -122.7833, time: 2014-09-15 01:41:08]
[id: f553e79f511b451c8b07994330e046a65ed2f08c, coordinate: lat: 30.652895, lng: -87.0522995, time: 2014-09-15 01:41:52]
[id: 11e43d5d-b72d-42aa-9df3-abb0a1754323, coordinate: lat: 47.4151001, lng: -120.330635, time: 2014-09-15 01:41:04]
[id: 90f24908b89285afc016f05fd7e3598ab7266ff3, coordinate: lat: 33.8015618, lng: -118.1165571, time: 2014-09-15 01:41:21]
[id: A74E686C-D2F0-420E-A374-DA275C329BD3, coordinate: lat: 45.4117, lng: -71.9074, time: 2014-09-15 01:41:32]
[id: a9b0fde6cecb874e9dc266f68519e57e5763d222, coordinate: lat: 30.4043903, lng: -91.1728287, time: 2014-09-15 01:41:53]
