Number of good coordinates: 890
1: lat: 42.4932632, lng: -75.5672836
1: lat: 42.7626686, lng: -87.8871536
1: lat: 33.252388, lng: -117.311792
1: lat: 41.3072739, lng: -81.7247009
1: lat: 37.9253578, lng: -121.70153
1: lat: 39.4050636, lng: -84.4714661
1: lat: 33.7465591, lng: -84.4946976
1: lat: 36.6629105, lng: -84.416832
1: lat: 34.9053802, lng: -81.9730453
1: lat: 29.6974163, lng: -91.3100204
1: lat: 46.8738, lng: -96.7676
1: lat: 35.7956276, lng: -78.7711334
1: lat: 27.8244629, lng: -82.6945631
1: lat: 41.2909241, lng: -72.6680679
1: lat: 41.3873863, lng: -87.4415512
1: lat: 37.2580681, lng: -90.9769974
1: lat: 39.8839722, lng: -88.9961548
1: lat: 35.9011323, lng: -89.7765704
1: lat: 42.9943, lng: -81.2623
1: lat: 39.4856262, lng: -88.1772079
1: lat: 41.3243179, lng: -72.1760406
1: lat: 40.7068977, lng: -111.853119
1: lat: 42.5069351, lng: -90.7181931
1: lat: 41.5315323, lng: -90.5003586
1: lat: 36.5631561, lng: -87.4359589
1: lat: 35.6277924, lng: -95.8554916
1: lat: 35.2517853, lng: -102.422249
1: lat: 30.4878178, lng: -97.6377487
1: lat: 46.8143, lng: -71.2431
1: lat: 27.9870434, lng: -82.1307831
1: lat: 44.9551353, lng: -93.1881638
1: lat: 42.4876518, lng: -88.0959549
1: lat: 42.3987836, lng: -122.9777496
1: lat: 38.9422035, lng: -94.5116196
1: lat: 40.4504509, lng: -79.8888321
1: lat: 38.8784862, lng: -94.4283765
1: lat: 32.8044739, lng: -96.9462891
1: lat: 45.0042458, lng: -93.1681442
1: lat: 30.2342339, lng: -93.0124664
1: lat: 31.8508568, lng: -83.6832886
1: lat: 42.4057579, lng: -83.292984
1: lat: 36.2702713, lng: -86.6221466
1: lat: 30.4615879, lng: -97.8201752
1: lat: 50.014487, lng: -119.394734
1: lat: 34.400269, lng: -83.937291
1: lat: 54.0167, lng: -124.0167
1: lat: 32.9623947, lng: -96.6719818
1: lat: 33.8513222, lng: -84.4825211
1: lat: 34.5155945, lng: -91.555069
1: lat: 37.0454407, lng: -88.4749374
1: lat: 33.84287078, lng: -117.88864088
1: lat: 34.6199722, lng: -79.0199127
1: lat: 31.4952354, lng: -95.4785309
1: lat: 42.1453247, lng: -87.9572067
1: lat: 38.162197, lng: -85.699851
1: lat: 42.9891243, lng: -71.4756088
1: lat: 30.2710552, lng: -85.5192871
1: lat: 47.71592149, lng: -122.16687796
1: lat: 42.899115, lng: -71.347504
1: lat: 42.739399, lng: -83.0349197
1: lat: 41.9659195, lng: -83.8905945
1: lat: 39.58865943, lng: -86.23101358
1: lat: 43.9423, lng: -79.4595
1: lat: 39.210805, lng: -94.4895365
1: lat: 39.14281756, lng: -76.51594973
1: lat: 29.3693695, lng: -100.874718
1: lat: 21.344444, lng: -157.908062
1: lat: 49.680994, lng: -112.7977757
1: lat: 35.4586906, lng: -94.8283997
1: lat: 42.3049965, lng: -85.2012024
1: lat: 32.3261452, lng: -102.541557
1: lat: 34.7567558, lng: -86.6272278
1: lat: 33.9900627, lng: -86.1058731
1: lat: 30.2607269, lng: -91.1036224
1: lat: 44.8096771, lng: -91.5137558
1: lat: 30.5183125, lng: -87.8995438
1: lat: 39.8751221, lng: -86.4851379
1: lat: 35.4247246, lng: -97.4226608
1: lat: 32.657135, lng: -96.8721237
1: lat: 35.1847916, lng: -79.4337311
1: lat: 42.3139572, lng: -89.0090027
1: lat: 42.426548, lng: -71.0245285
1: lat: 43.724014, lng: -79.552339
1: lat: 42.308631, lng: -82.906521
1: lat: 39.9509468, lng: -79.9501801
1: lat: 43.1891899, lng: -85.6791382
1: lat: 49.098259, lng: -117.695959
1: lat: 42.5587, lng: -83.0092
1: lat: 53.452009, lng: -113.586252
1: lat: 46.7692183333, lng: -92.122055
1: lat: 33.634805, lng: -80.908721
1: lat: 31.5678, lng: -83.2719
1: lat: 37.4804039, lng: -84.0509033
1: lat: 33.0775528, lng: -116.601257
1: lat: 35.7723923, lng: -83.9833069
1: lat: 41.647956, lng: -74.633391
1: lat: 35.5009537, lng: -119.273514
1: lat: 49.156131, lng: -122.801581
1: lat: 53.572641, lng: -113.449236
1: lat: 39.400916, lng: -107.101524
1: lat: 40.79314689, lng: -74.21933695
1: lat: 46.8921, lng: -71.2732
1: lat: 44.34609887, lng: -91.36605946
1: lat: 36.87588762, lng: -94.86731809
1: lat: 40.9729729, lng: -81.4489441
1: lat: 40.4227409, lng: -80.1933517
1: lat: 42.4363708, lng: -73.2212677
1: lat: 49.166615, lng: -121.96069
1: lat: 37.2544823, lng: -77.2840881
1: lat: 38.5209007, lng: -80.8873978
1: lat: 40.1076584, lng: -75.3248367
1: lat: 42.9799, lng: -81.2609
1: lat: 35.37488, lng: -97.240396
1: lat: 33.3175373, lng: -111.8926709
1: lat: 38.3423615, lng: -90.1486664
1: lat: 41.0736732, lng: -84.7295609
1: lat: 37.8378372, lng: -121.283661
1: lat: 34.1821, lng: -103.3383
1: lat: 38.4685822, lng: -82.6576004
1: lat: 30.0180187, lng: -90.2702866
1: lat: 31.6084652, lng: -85.5457916
1: lat: 41.6263237, lng: -71.2526627
1: lat: 40.8272171, lng: -91.1663895
1: lat: 36.8108101, lng: -76.314888
1: lat: 42.2749977, lng: -83.6262436
1: lat: 40.1448174, lng: -74.2598572
1: lat: 40.5904427, lng: -73.9789429
1: lat: 35.197079, lng: -101.877998
1: lat: 26.3055401, lng: -98.1798172
1: lat: 39.54450512, lng: -119.71084053
1: lat: 30.253402, lng: -92.012431
1: lat: 40.11653534, lng: -87.77928215
1: lat: 40.674906, lng: -74.0024021
1: lat: 38.06840031, lng: -97.9112863
1: lat: 37.0756676, lng: -88.6760051
1: lat: 36.0689659, lng: -79.8277283
1: lat: 38.8648643, lng: -90.0636978
1: lat: 43.0205841, lng: -83.7295532
1: lat: 42.7010155, lng: -87.8260803
1: lat: 33.5671, lng: -101.8851
1: lat: 41.9654728, lng: -83.7129066
1: lat: 43.6536, lng: -79.4258
1: lat: 44.6663, lng: -63.5763
1: lat: 32.82112424, lng: -83.72182062
1: lat: 41.0250317, lng: -83.6270637
1: lat: 43.9167, lng: -80.8833
1: lat: 39.1155815, lng: -84.5157318
1: lat: 39.7434273, lng: -86.1209641
1: lat: 39.709166, lng: -105.076934
1: lat: 30.7689575, lng: -86.5894986
1: lat: 39.957756, lng: -75.2319412
1: lat: 43.137207, lng: -77.6580048
1: lat: 39.1884956, lng: -89.6542892
1: lat: 39.3153152, lng: -76.6673737
1: lat: 29.8856201, lng: -95.4542465
1: lat: 48.7197685, lng: -94.6301575
1: lat: 40.8232179, lng: -96.6381584
1: lat: 40.6956117, lng: -90.0029522
1: lat: 33.7012463, lng: -84.1635288
1: lat: 28.270552, lng: -82.612809
1: lat: 34.4814034, lng: -84.9676437
1: lat: 32.2217, lng: -110.9265
1: lat: 29.4594593, lng: -98.3567886
1: lat: 42.8582001, lng: -72.2982025
1: lat: 30.6225929, lng: -96.3520966
1: lat: 41.8918915, lng: -87.8867416
1: lat: 36.4064598, lng: -86.7816391
1: lat: 39.88422, lng: -87.412838
1: lat: 35.7071495, lng: -85.7851334
1: lat: 34.9078, lng: -87.0073
1: lat: 38.6119041, lng: -90.2923889
1: lat: 33.109647, lng: -96.100083
1: lat: 42.3015594, lng: -85.6449661
1: lat: 38.55120671, lng: -90.27026025
1: lat: 40.2522507, lng: -76.7505722
1: lat: 35.3809433, lng: -97.5090866
1: lat: 38.755506, lng: -120.59746
1: lat: 41.9725838, lng: -87.8170853
1: lat: 49.130181, lng: -122.850388
1: lat: 35.4368019, lng: -97.6861572
1: lat: 39.741828, lng: -105.518765
1: lat: 29.9822884, lng: -90.3611374
1: lat: 39.0630646, lng: -77.1120529
1: lat: 40.723156, lng: -73.7436447
1: lat: 31.5207367, lng: -92.7063904
1: lat: 46.4470825, lng: -90.1661377
1: lat: 30.0706425, lng: -95.2046356
1: lat: 49.0764, lng: -122.6797
1: lat: 35.1916283667, lng: -111.6516574
1: lat: 37.9463463, lng: -122.328941
1: lat: 32.7620354, lng: -96.9158707
1: lat: 43.1501, lng: -80.2766
1: lat: 48.0609537, lng: -114.0735139
1: lat: 32.5994873, lng: -83.6576233
1: lat: 48.1117, lng: -65.9509
1: lat: 41.5603065, lng: -87.7801056
1: lat: 32.2607727, lng: -101.450516
1: lat: 33.7051201, lng: -84.3592911
1: lat: 32.8018532, lng: -97.317131
1: lat: 29.6435833, lng: -95.216301
1: lat: 40.27981325, lng: -78.83044331
1: lat: 42.6682914, lng: -88.2471634
1: lat: 29.49556636, lng: -98.67958599
1: lat: 27.7535057, lng: -98.0760422
1: lat: 41.5309982, lng: -90.4841232
1: lat: 29.7477474, lng: -95.3801727
1: lat: 37.2985535, lng: -89.5604706
1: lat: 34.5295259, lng: -97.9648361
1: lat: 38.8040352, lng: -84.784256
1: lat: 40.49791703, lng: -78.01660258
1: lat: 43.361892, lng: -124.212321
1: lat: 41.67120713, lng: -86.27800903
1: lat: 28.065527, lng: -80.6323242
1: lat: 28.55480545, lng: -81.51073124
1: lat: 45.5462, lng: -73.2339
1: lat: 43.1540718, lng: -91.146759
1: lat: 40.018018018, lng: -83.097580942
1: lat: 36.4303589, lng: -77.0985031
1: lat: 41.7036018, lng: -87.6266861
1: lat: 39.1723061, lng: -86.5293961
1: lat: 41.570507, lng: -93.7733307
1: lat: 33.1789093, lng: -117.323166
1: lat: 38.8955536, lng: -76.9130249
1: lat: 39.85203942, lng: -86.28253014
1: lat: 43.8986435, lng: -91.2264862
1: lat: 45.514348, lng: -123.095053
1: lat: 38.887028, lng: -85.106083
1: lat: 45.6005505, lng: -122.7402973
1: lat: 28.080685, lng: -81.504402
1: lat: 38.8725319, lng: -76.9245911
1: lat: 30.2566357, lng: -97.7230225
1: lat: 46.5045045045, lng: -84.3705929638
1: lat: 44.6525642, lng: -93.235733
1: lat: 35.0270271, lng: -90.0591354
1: lat: 38.8654671, lng: -77.0832672
1: lat: 37.9995728, lng: -84.2045746
1: lat: 53.9103, lng: -122.7835
1: lat: 34.0751188, lng: -98.5651299
1: lat: 40.6685524, lng: -73.877449
1: lat: 35.5061302, lng: -97.5130081
1: lat: 28.49369202, lng: -81.40130543
1: lat: 47.048201, lng: -122.3652674
1: lat: 38.2477577, lng: -104.6011631
1: lat: 41.5643349, lng: -73.0485153
1: lat: 34.724453, lng: -86.7887115
1: lat: 45.0022774, lng: -88.3671265
1: lat: 30.33935, lng: -81.564382
1: lat: 42.422141, lng: -123.027072
1: lat: 42.1161995, lng: -79.9837036
1: lat: 44.7567558, lng: -91.4219208
1: lat: 40.6969621, lng: -111.9812426
1: lat: 36.04818, lng: -86.541878
1: lat: 41.9357414, lng: -88.765831
1: lat: 38.4774551, lng: -85.5904312
1: lat: 39.3018188, lng: -94.9185028
1: lat: 49.721309, lng: -112.81519
1: lat: 35.492933, lng: -97.564741
1: lat: 36.9936415, lng: -84.6099362
1: lat: 39.3764992, lng: -84.5454788
1: lat: 31.9304333, lng: -106.42157
1: lat: 41.5879631, lng: -93.7049942
1: lat: 40.8465614, lng: -74.4334869
1: lat: 39.0061, lng: -94.6337
1: lat: 30.4203739, lng: -88.7883987
1: lat: 40.6880287, lng: -112.0765679
1: lat: 28.3019428, lng: -82.7079468
1: lat: 31.77344042, lng: -93.08686976
1: lat: 44.887895, lng: -89.623727
1: lat: 40.0809132, lng: -104.9262849
1: lat: 34.9660378, lng: -85.1681976
1: lat: 35.4147034, lng: -82.5163651
1: lat: 34.129182, lng: -117.221181
1: lat: 36.7081771, lng: -97.0966328
1: lat: 40.4965019, lng: -74.4020462
1: lat: 29.940815, lng: -89.9633789
1: lat: 45.4926, lng: -73.4473
1: lat: 45.4178171, lng: -122.4596445
1: lat: 34.0689735, lng: -80.9084167
1: lat: 33.872448, lng: -84.836034
1: lat: 45.5234, lng: -122.6762
1: lat: 41.5554047, lng: -72.5791855
1: lat: 32.771061, lng: -108.271463
1: lat: 49.8833, lng: -97.1667
1: lat: 28.1730537, lng: -81.4750443
1: lat: 35.3486087, lng: -119.0597072
1: lat: 26.6126118, lng: -81.8418503
1: lat: 37.3403854, lng: -77.3477783
1: lat: 39.9780807, lng: -74.2465591
1: lat: 35.0251846, lng: -89.8442535
1: lat: 49.677838, lng: -112.788195
1: lat: 29.881644, lng: -97.910794
1: lat: 42.4098358, lng: -82.985466
1: lat: 42.4962578, lng: -92.3519516
1: lat: 53.532717, lng: -113.632509
1: lat: 32.7207222, lng: -97.1451797
1: lat: 46.7867, lng: -71.2436
1: lat: 49.1173, lng: -122.8234
1: lat: 42.0023766, lng: -90.9372406
1: lat: 30.3771496, lng: -97.6399841
1: lat: 38.7907295, lng: -122.548691
1: lat: 32.5086784, lng: -89.8638687
1: lat: 35.210289, lng: -80.7862549
1: lat: 34.008194, lng: -83.8981018
1: lat: 36.708964, lng: -119.743138
1: lat: 41.9330597, lng: -91.886879
1: lat: 31.115117, lng: -97.736459
1: lat: 44.329255, lng: -88.157572
1: lat: 48.0477, lng: -66.4004
1: lat: 34.2662, lng: -85.1159
1: lat: 40.8081207, lng: -76.8631821
1: lat: 29.1122684, lng: -82.0366821
1: lat: 38.466768, lng: -105.246205
1: lat: 29.4617615, lng: -98.4331894
1: lat: 54.01488, lng: -124.070438
1: lat: 38.252491, lng: -85.782235
1: lat: 41.6140938, lng: -87.8089905
1: lat: 38.5204, lng: -90.2987
1: lat: 44.5295, lng: -64.2909
1: lat: 44.777668, lng: -92.8665924
1: lat: 28.0714493, lng: -82.4150467
1: lat: 40.4505539, lng: -80.1841431
1: lat: 30.2033825, lng: -81.7321091
1: lat: 37.4688835, lng: -77.9656067
1: lat: 41.5553932, lng: -90.5396118
1: lat: 42.8845215, lng: -82.4820175
1: lat: 33.3345949, lng: -97.1802391
1: lat: 45.8074799, lng: -91.0910339
1: lat: 40.3884354, lng: -85.496582
1: lat: 34.3017464, lng: -81.1522522
1: lat: 48.6853894, lng: 2.3313064
1: lat: 29.467057, lng: -98.322676
1: lat: 39.0352, lng: -104.6968
1: lat: 42.9760063, lng: -83.57935719
1: lat: 40.4260902, lng: -86.9092331
1: lat: 36.060929, lng: -79.751271
1: lat: 33.6472435, lng: -84.216362
1: lat: 55.4333, lng: -116.4833
1: lat: 33.5860924, lng: -96.17001007
1: lat: 36.4568977, lng: -81.401123
1: lat: 45.9535, lng: -66.6704
1: lat: 35.6936951, lng: -88.8534927
1: lat: 41.8721814, lng: -90.1799681
1: lat: 36.6609876, lng: -93.2203555
1: lat: 42.8594055, lng: -83.2921753
1: lat: 33.6373482, lng: -96.6580505
1: lat: 32.0192032, lng: -93.3433838
1: lat: 29.9064693, lng: -89.9934845
1: lat: 40.6090469, lng: -75.458931
1: lat: 35.4600792, lng: -77.9237213
1: lat: 36.245121, lng: -86.7496948
1: lat: 34.4739, lng: -104.2373
1: lat: 28.0064, lng: -82.5905
1: lat: 51.0857, lng: -114.0714
1: lat: 32.9200554, lng: -97.517868
1: lat: 39.4027519, lng: -74.4926682
1: lat: 42.287079, lng: -89.639858
1: lat: 32.3506272, lng: -90.3076272
1: lat: 38.3318062, lng: -77.4609451
1: lat: 31.0664253, lng: -97.7395325
1: lat: 49.705625, lng: -124.989663
1: lat: 39.1012917, lng: -94.5884705
1: lat: 49.3233, lng: -124.3227
1: lat: 32.7589569, lng: -97.5053864
1: lat: 40.2902603, lng: -75.9833527
1: lat: 37.5488548, lng: -77.3959808
1: lat: 41.5337257, lng: -88.055954
1: lat: 39.42987421, lng: -74.64404212
1: lat: 48.420273, lng: -123.505912
1: lat: 25.7947633, lng: -80.1992074
1: lat: 39.3495903, lng: -76.5286789
1: lat: 45.4117, lng: -71.9074
1: lat: 40.4144135, lng: -74.308403
1: lat: 40.8438416, lng: -80.5120163
