frequency,lat,lng
1,41.7297287,-88.2439804
1,49.130181,-122.850388
1,41.5603065,-87.7801056
1,28.0059166,-82.7411575
1,32.68329255,-97.21546679
1,38.55120671,-90.27026025
1,43.7023,-79.7909
1,42.8594055,-83.2921753
1,47.4151001,-120.330635
1,33.27927927927928,-111.83593345173986
1,40.6285629,-73.9567871
