id_request,time,lat,lng
c78bfac2-4b1d-4721-b4ca-3b5c10f8aa76,2014-09-15 01:41:04,41.7297287,-88.2439804
11e43d5d-b72d-42aa-9df3-abb0a1754323,2014-09-15 01:41:04,47.4151001,-120.330635
b392292858858f0e663dbcf850a3658cc1192cd7,2014-09-15 01:41:05,38.55120671,-90.27026025
fdb83ee503657856c316432be5b3abfa4cc8cc2d,2014-09-15 01:41:04,42.8594055,-83.2921753
b49d937ced086981e4c0fc0ed1dbe01c0a8e3191,2014-09-15 01:41:05,41.5603065,-87.7801056
66b5a876-7e67-43d7-8bb3-a62759a442cd,2014-09-15 01:41:04,40.6285629,-73.9567871
93f7cd7fb4c980c50881a84efae0b662d7c2a0e7,2014-09-15 01:41:04,32.68329255,-97.21546679
5aa75e61ffddeb9ba4f7d41b0083197a0eb69a75,2014-09-15 01:41:05,28.0059166,-82.7411575
639BC94A-903B-4724-9B00-E0713D35E0BD,2014-09-15 01:41:04,49.130181,-122.850388
E8A33764-5CE8-4F56-9524-52F586F5E0D4,2014-09-15 01:41:04,43.7023,-79.7909
a1bdec35c8e697a4c52c2b1444d57ab3d041713c,2014-09-15 01:41:04,33.27927927927928,-111.83593345173986
